InputZoom	TRUE
InputCenter	1000000000.000000000
InputRange	2.000000000
InputRefImped	50.000000000
XStart	0.000000000
XDelta	0.000000160
XDomain	0
XUnit	Sec
YUnit	V
FreqValidMax	1020000000.000000000
FreqValidMin	980000000.000000000
TimeString	Wed Apr 9 10:31:26.524 2014
Y
0.002461	-0.005274
0.002109	-0.001758
-0.005625	0.000352
0	-0.002813
-0.000703	0.004571
-0.010899	0.007383
-0.004922	0.000703
0.002813	0
-0.002109	0.008438
0.007383	0.005977
0.001055	-0.00668
0.008789	0.000703
0.001055	0.003164
-0.002461	0.000352
0.000703	0.003516
0.001055	0.007383
-0.001758	-0.001758
0.000703	-0.000703
-0.002813	0
0.008438	0.012657
-0.001406	0.000352
-0.005977	-0.007032
0.001055	-0.000703
0.003867	-0.010899
0.003516	-0.002461
-0.002813	-0.007735
0.001406	-0.004571
0.002813	0.002461
0.004922	0.000352
-0.005274	0.002461
0.010196	-0.016524
0.003164	-0.007032
0.000352	0.001758
0.001055	0.001758
0.002813	-0.007735
0.001406	-0.001758
0.002461	0.000352
-0.001055	-0.003516
-0.005977	-0.000703
0	0.001055
0.010547	0.002813
0.001055	-0.007735
-0.003164	-0.003516
0.007383	-0.008086
-0.013712	0
-0.009844	0.001406
-0.000703	-0.003164
-0.010196	0.007032
0.002461	-0.010196
0.004219	-0.008438
0.005274	0
-0.00668	-0.002109
-0.008438	0.003164
0.001758	0.003164
0.007383	0.003164
0.001055	-0.002461
-0.004571	0
-0.000352	-0.000352
-0.000352	-0.003164
0.005625	0.001406
-0.003867	-0.003164
0.000352	-0.003164
-0.002461	0.004922
-0.001055	0.001406
0.004571	0.003867
-0.002461	-0.004219
-0.004571	0.002461
0.000703	0.010547
0.001055	-0.004219
-0.001055	0.001055
-0.003867	-0.001758
0.003516	0.001055
-0.002813	0
0.010899	-0.000703
0.002461	-0.002109
-0.002109	0.003867
-0.000352	0.002109
-0.007383	-0.001758
-0.002813	0.001406
-0.004922	0.001055
-0.003516	0.000703
-0.011602	-0.001055
-0.008438	0
-0.007383	0.000352
-0.005274	0.002461
-0.008086	0.005274
-0.020392	-0.003516
-0.003164	0.001406
-0.012657	0.002813
-0.018985	-0.009141
-0.010196	-0.001406
-0.016876	-0.005274
-0.016524	0.005274
-0.021095	-0.008438
-0.027775	-0.005274
-0.022853	-0.003164
-0.021095	0.003867
-0.010196	-0.004571
-0.016876	-0.000352
-0.020392	-0.004571
-0.02461	0.005625
-0.03129	0.01125
-0.019337	-0.001406
-0.023907	0.003164
-0.028829	0.001758
-0.022853	0.001406
-0.027423	-0.007032
-0.027071	0.001406
-0.027775	-0.004219
-0.041135	-0.005625
-0.032697	0.000703
-0.026368	0.000703
-0.0334	0.010547
-0.029884	0.001406
-0.036213	-0.016173
-0.039025	-0.004219
-0.038674	-0.008438
-0.03797	-0.002109
-0.045705	0.001758
-0.04008	-0.002813
-0.042189	0.001758
-0.03797	-0.006328
-0.045354	0.003867
-0.048518	-0.00668
-0.044299	-0.004571
-0.048166	0.004571
-0.033048	0.001406
-0.050276	0.001406
-0.043596	0.000703
-0.045354	0.002109
-0.059417	0.004219
-0.052034	0.005977
-0.054143	-0.001758
-0.051682	0.006328
-0.054846	0.002813
-0.053791	-0.004571
-0.052385	0
-0.052737	-0.002461
-0.063284	0.00668
-0.056956	-0.004571
-0.062932	-0.002813
-0.055901	-0.001406
-0.05801	0.001055
-0.069964	-0.009844
-0.056252	-0.00668
-0.059768	0.001758
-0.059768	-0.010547
-0.065042	-0.005977
-0.065042	-0.000703
-0.064339	-0.007735
-0.068206	-0.001758
-0.070316	0
-0.068206	-0.00668
-0.06469	-0.005977
-0.074183	-0.005274
-0.074183	-0.006328
-0.069964	-0.004922
-0.072777	-0.001406
-0.078753	0
-0.084379	-0.010196
-0.074183	-0.005274
-0.078402	-0.009141
-0.077699	-0.009493
-0.079457	-0.003164
-0.070667	-0.008438
-0.08473	-0.000703
-0.084379	0
-0.073831	-0.007032
-0.078753	-0.006328
-0.096332	-0.005625
-0.089301	0.005274
-0.083676	-0.005274
-0.08684	-0.004219
-0.091762	-0.008789
-0.088246	-0.011602
-0.094926	-0.002813
-0.082621	0.005625
-0.083324	0.002109
-0.098793	-0.01336
-0.088949	0.002813
-0.097739	-0.003867
-0.09352	0.000352
-0.087894	-0.014766
-0.090355	-0.006328
-0.1002	0.000703
-0.096684	0.005625
-0.10442	-0.008438
-0.10125	-0.003867
-0.097387	0.002813
-0.089301	-0.001055
-0.10196	-0.005977
-0.10512	-0.004219
-0.10793	-0.004219
-0.11743	-0.008086
-0.10899	-0.004922
-0.11989	-0.011602
-0.10583	-0.013008
-0.10723	-0.003164
-0.11461	-0.010547
-0.11497	-0.003867
-0.11708	-0.003516
-0.10864	-0.011954
-0.11672	-0.001406
-0.11004	-0.003516
-0.12094	-0.010547
-0.1227	-0.005274
-0.12587	-0.007383
-0.12165	-0.010899
-0.11004	-0.003516
-0.12235	-0.003516
-0.10829	-0.002813
-0.11356	0.002813
-0.12868	-0.008438
-0.11602	0.001758
-0.13008	-0.004219
-0.12305	-0.010899
-0.11883	-0.014063
-0.13536	-0.011954
-0.12059	-0.001055
-0.13676	0.008086
-0.12657	0.006328
-0.12797	-0.008789
-0.1227	-0.007032
-0.13184	0.003867
-0.13114	-0.004571
-0.13641	0
-0.12727	-0.007032
-0.12903	-0.00668
-0.13747	-0.010196
-0.13606	-0.001758
-0.1452	-0.002109
-0.14274	0.005625
-0.13184	0.005274
-0.1438	-0.002461
-0.14098	-0.000703
-0.14555	-0.009493
-0.1438	0.003867
-0.14415	-0.002813
-0.14309	0.002813
-0.14344	-0.005274
-0.1554	0.001758
-0.14344	0.010547
-0.1568	-0.007383
-0.15891	-0.002461
-0.1561	-0.006328
-0.15153	0.005977
-0.14977	-0.003516
-0.1561	-0.002461
-0.15223	-0.002813
-0.15926	-0.007032
-0.15575	0.008438
-0.15223	-0.001758
-0.15926	-0.005274
-0.16032	-0.008086
-0.15188	-0.002109
-0.16559	-0.002813
-0.16102	0.001055
-0.16454	0.001406
-0.16454	-0.006328
-0.1677	-0.004571
-0.16489	-0.001758
-0.17157	0.001406
-0.1663	-0.003164
-0.1663	-0.000352
-0.17157	-0.002813
-0.16876	-0.002109
-0.17579	-0.005977
-0.16876	0.003516
-0.17263	-0.005625
-0.16805	-0.004571
-0.17649	-0.000352
-0.17227	-0.001758
-0.17016	-0.003867
-0.17755	-0.003164
-0.17895	-0.008438
-0.18036	-0.000352
-0.1677	0.010196
-0.18071	-0.009493
-0.18071	0.002109
-0.18985	-0.002813
-0.18036	0.002109
-0.18247	-0.007032
-0.19056	0.007032
-0.17544	0.002813
-0.17895	0.003867
-0.18388	-0.006328
-0.19231	-0.010196
-0.18458	0.004571
-0.18141	-0.004571
-0.18493	0.001055
-0.19267	0.000352
-0.19513	-0.001055
-0.19548	-0.004219
-0.19091	-0.011954
-0.19231	-0.00668
-0.1895	0.005977
-0.19407	-0.005977
-0.19477	-0.002813
-0.19302	-0.004922
-0.19231	-0.002461
-0.19513	0.000703
-0.19794	0.005625
-0.19126	0
-0.1997	-0.009493
-0.2004	0.003516
-0.20708	0.008438
-0.19934	-0.005274
-0.20005	0.004219
-0.20954	-0.004219
-0.20532	0
-0.21024	-0.001758
-0.21517	-0.007032
-0.20075	-0.00668
-0.20638	-0.003164
-0.21798	-0.005274
-0.21271	0.003516
-0.212	-0.009493
-0.20532	-0.002109
-0.20849	-0.017227
-0.212	-0.002461
-0.21798	-0.002813
-0.21024	-0.007735
-0.21552	-0.001758
-0.21692	-0.002461
-0.22185	-0.003516
-0.22325	-0.002109
-0.21798	0.005977
-0.22114	-0.004219
-0.21763	0.003867
-0.21974	-0.008438
-0.22712	-0.005274
-0.22606	0.003164
-0.22395	-0.000352
-0.2222	0.001406
-0.21939	-0.002813
-0.22642	-0.002813
-0.22606	-0.003164
-0.22817	0.004922
-0.23028	-0.000703
-0.22817	0.000703
-0.23802	-0.008438
-0.23802	-0.002813
-0.23415	-0.003164
-0.24329	-0.004922
-0.23099	-0.002813
-0.22958	-0.005977
-0.2338	-0.001758
-0.23099	-0.004571
-0.2331	-0.004922
-0.23345	-0.011954
-0.23591	-0.002109
-0.23837	0.001758
-0.24118	-0.003516
-0.2454	-0.004922
-0.24364	-0.004571
-0.24189	0.002813
-0.25314	0.007383
-0.2461	-0.002461
-0.25103	0.003867
-0.2454	0.000352
-0.24997	-0.002461
-0.25982	-0.001758
-0.24646	-0.005274
-0.24716	-0.003867
-0.25419	-0.003867
-0.25067	-0.002813
-0.25067	-0.002813
-0.24962	-0.002813
-0.25841	-0.002109
-0.25911	0.005977
-0.25595	-0.001406
-0.25946	0.004922
-0.25841	0.003164
-0.25278	-0.003516
-0.26368	0.001055
-0.25454	0.008086
-0.26896	0.004571
-0.27599	-0.004571
-0.26122	0.003164
-0.2686	0.004219
-0.26193	-0.001055
-0.26122	0.005274
-0.2672	0.00668
-0.2679	0.003516
-0.27423	0.002813
-0.2774	0.005977
-0.27529	0.010547
-0.27212	0
-0.27634	0.008789
-0.27845	0.000352
-0.2774	0.001406
-0.27247	-0.003164
-0.27318	0.007735
-0.27493	0.004571
-0.27775	0.006328
-0.28408	0.003867
-0.27669	-0.002109
-0.27177	0.002813
-0.27529	-0.002461
-0.28759	-0.005625
-0.28267	0.000703
-0.27564	-0.004922
-0.29181	-0.004219
-0.28478	-0.009844
-0.28126	0.001406
-0.28864	-0.002813
-0.29462	0.002813
-0.2897	0.004571
-0.29849	-0.003164
-0.29919	0.004219
-0.28864	-0.004219
-0.30271	0.000352
-0.29392	-0.002109
-0.28583	0.009493
-0.29708	0.007735
-0.29533	-0.000352
-0.29708	0.005625
-0.29673	0.008438
-0.29497	-0.001055
-0.30482	0.004922
-0.30482	0.005625
-0.30552	0.002109
-0.31255	0
-0.30165	0
-0.31185	-0.000352
-0.30341	-0.002813
-0.31009	0.004571
-0.3122	-0.001406
-0.30306	0.001406
-0.29497	-0.003867
-0.3115	-0.004922
-0.30833	0.002461
-0.30552	0.002461
-0.30622	0.002109
-0.31607	0.002461
-0.3122	0.003164
-0.31607	-0.008438
-0.31994	-0.000703
-0.31361	0.004922
-0.3122	0.004922
-0.31115	0.000703
-0.3238	0.004219
-0.30728	0.001758
-0.32837	-0.003516
-0.31923	-0.000703
-0.31818	0.009844
-0.31607	0.002813
-0.31537	0.001406
-0.32697	-0.000703
-0.33189	-0.001055
-0.32802	0.012305
-0.33294	-0.004219
-0.32662	-0.003516
-0.32556	0.009844
-0.33294	0.007383
-0.33013	-0.003164
-0.3347	0.007383
-0.33611	-0.000352
-0.33154	0.005274
-0.33646	0.013712
-0.32767	0.011954
-0.33787	0.003164
-0.33962	0.005274
-0.33752	0.003164
-0.34208	-0.003516
-0.34033	-0.001758
-0.34138	0.008789
-0.33681	0.00668
-0.34314	0.001758
-0.33857	0.005625
-0.34525	0.007032
-0.34841	0.008438
-0.34525	0.016173
-0.34208	0.000352
-0.3463	-0.003867
-0.34068	-0.001758
-0.35439	0.004219
-0.35509	0.004571
-0.3558	-0.002461
-0.35334	0.005625
-0.35263	0.002461
-0.35017	0.007383
-0.35439	0.005625
-0.35298	0.009493
-0.35791	0.003516
-0.35158	0.009141
-0.34912	0.001758
-0.35791	-0.001055
-0.36705	0.010899
-0.36388	0.003164
-0.35966	0.01125
-0.36353	-0.001055
-0.35263	0.008789
-0.36142	0.001406
-0.36388	0.015469
-0.35685	0.014766
-0.36353	0.009844
-0.36072	0.009844
-0.36634	0.011602
-0.36845	0.016524
-0.36494	0.005274
-0.36177	0.010547
-0.36916	0.012657
-0.38041	0.018282
-0.37689	0.003867
-0.3797	0.004219
-0.37654	-0.005625
-0.36986	0.005274
-0.38252	0.010547
-0.3797	0.008789
-0.38146	0.00668
-0.37443	0.004219
-0.3783	0.020392
-0.37443	0.00668
-0.37513	0.009844
-0.37267	0.008086
-0.37338	0.007032
-0.38849	0.015118
-0.38955	0.016173
-0.38252	0.005274
-0.38568	0.015469
-0.38111	0.008438
-0.38603	0.014766
-0.38638	0.006328
-0.39377	0.011954
-0.38674	0.01125
-0.39412	0.007735
-0.39377	0.008438
-0.39377	0.013008
-0.39271	0.012657
-0.39131	0.016173
-0.39377	0.020392
-0.39728	0.023556
-0.40256	0.017579
-0.38849	0.019688
-0.40291	0.01336
-0.39623	0.014415
-0.39693	0.017227
-0.40185	0.015469
-0.40396	0.019688
-0.39588	0.01125
-0.39658	0.016173
-0.41064	0.013712
-0.40291	0.010547
-0.40431	0.017227
-0.4015	0.009493
-0.40924	0.012657
-0.40748	0.019337
-0.40818	0.021446
-0.41029	0.010547
-0.40431	0.006328
-0.41416	0.021798
-0.40994	0.01336
-0.41416	0.007735
-0.41662	0.012657
-0.41275	0.016876
-0.42049	0.001406
-0.41557	0.014415
-0.4117	0.011954
-0.41662	0.012305
-0.40853	0.005977
-0.42471	0.01125
-0.4226	0.021798
-0.42717	0.017227
-0.42365	0.009141
-0.41767	0.017579
-0.43103	0.01793
-0.42049	0.016876
-0.42928	0.010547
-0.41521	0.015821
-0.41873	0.013712
-0.42471	0.018634
-0.42049	0.012657
-0.424	0.013712
-0.41943	0.015118
-0.41943	0.017579
-0.42963	0.018985
-0.42295	0.011602
-0.42154	0.01793
-0.42682	0.021446
-0.4349	0.014415
-0.43596	0.012657
-0.4349	0.014063
-0.43982	0.020743
-0.43525	0.023907
-0.44088	0.018282
-0.42857	0.019337
-0.44228	0.012305
-0.44334	0.013712
-0.43807	0.019337
-0.43877	0.021446
-0.43209	0.018634
-0.43912	0.017579
-0.44158	0.020392
-0.44932	0.026017
-0.44334	0.015821
-0.44756	0.017579
-0.45002	0.021095
-0.44826	0.022149
-0.4451	0.008789
-0.43807	0.013008
-0.44369	0.022853
-0.44791	0.012305
-0.44228	0.019337
-0.45529	0.022853
-0.44686	0.016876
-0.44932	0.01336
-0.45354	0.011954
-0.4567	0.027775
-0.46514	0.020392
-0.45002	0.026017
-0.45775	0.008789
-0.45881	0.020392
-0.46443	0.024259
-0.46197	0.01336
-0.45318	0.023907
-0.45881	0.012657
-0.45811	0.019688
-0.46092	0.014063
-0.46971	0.022501
-0.46865	0.027071
-0.46443	0.026368
-0.46021	0.019337
-0.47111	0.02461
-0.47463	0.017579
-0.47639	0.023204
-0.47076	0.023556
-0.47287	0.014063
-0.47428	0.018985
-0.46654	0.010899
-0.47428	0.018634
-0.48131	0.018985
-0.47358	0.02672
-0.47393	0.025314
-0.46443	0.022149
-0.49115	0.021446
-0.48131	0.025314
-0.48131	0.034455
-0.4799	0.037267
-0.48447	0.032697
-0.48236	0.031994
-0.48025	0.026368
-0.48131	0.030587
-0.48377	0.023556
-0.48236	0.027775
-0.48483	0.033048
-0.48518	0.020743
-0.48553	0.024962
-0.48518	0.023556
-0.47885	0.026368
-0.48553	0.035509
-0.49045	0.031994
-0.48518	0.031642
-0.48307	0.028478
-0.49819	0.033048
-0.48658	0.027071
-0.48588	0.022501
-0.49748	0.035509
-0.50276	0.034103
-0.49537	0.034455
-0.49959	0.024962
-0.49748	0.027423
-0.51084	0.025314
-0.5017	0.024962
-0.49924	0.027423
-0.50135	0.023204
-0.49608	0.01793
