InputZoom	TRUE
InputCenter	1000000000.000000000
InputRange	2.000000000
InputRefImped	50.000000000
XStart	0.000000000
XDelta	0.000000160
XDomain	0
XUnit	Sec
YUnit	V
FreqValidMax	1020000000.000000000
FreqValidMin	980000000.000000000
TimeString	Wed Apr 9 10:31:26.524 2014
Y
0.006188	0.003582
0.00228	0.000326
0.004234	0
-0.006188	-0.004885
0.005862	-0.008793
-0.008142	-0.006513
-0.002931	-0.00228
0.002605	0.004559
0.006839	-0.000651
0.003582	0.000977
0.006188	0.000326
0.00228	0.006188
0.001628	-0.003908
0	-0.004885
-0.001303	-0.008142
-0.002605	0.005862
-0.003908	-0.004559
-0.003257	0.00228
0.007816	0.002931
0.003582	0.004234
-0.003908	0.001628
0.003908	-0.000651
0.005536	0.003257
0.001628	-0.006839
-0.000977	0.004885
-0.002605	0.00228
-0.002605	0.012375
-0.001954	0.002605
0.001954	-0.001954
0.008793	0
0.002931	-0.008467
0.00228	-0.003908
0.001954	-0.002605
0	-0.002931
-0.001954	-0.004885
-0.003582	0.001303
-0.002931	0.000651
0.004885	-0.008793
0.000326	-0.001303
0	0.005862
0.001954	-0.005862
-0.009444	0.005211
-0.001628	0.000977
-0.007165	-0.003908
-0.001303	-0.001303
-0.000651	0.002931
0.001303	0.006839
0.00749	-0.008793
0.004234	-0.00228
-0.000326	0.001954
0.001303	0.00228
0.012375	0
-0.005211	-0.002931
-0.006839	-0.000651
0.00228	-0.000326
0.005862	0
0.002605	-0.00228
-0.00228	-0.003582
0.005862	0.004885
-0.00228	0.002605
-0.005536	-0.005536
0.00749	-0.001628
0.000977	0.008793
-0.000651	0.005862
-0.003257	-0.004234
0.003257	0.001954
0.007816	-0.006188
-0.003908	0.004234
0.001628	0.000326
0.001303	-0.000651
-0.001628	0.000326
-0.005211	-0.002605
0.000651	-0.001954
-0.001954	-0.001954
-0.003582	0.002605
0.000977	-0.00228
-0.003582	0.005211
0.003582	0.010095
0.013678	0.005211
0.007816	-0.00228
0.004885	0.009118
0.007165	0.010421
0.004234	0.007165
0.003582	0.014329
0.005862	0.019214
0.007165	0.002605
-0.000651	-0.003257
0.001954	-0.000651
0.013678	0.007165
0.012375	0.004885
0.011398	0.010421
0.017911	0.014003
0.015632	0.004234
0.022796	0.016283
0.014329	0.012701
0.015957	0.006188
0.016283	0.00977
0.014003	0.007816
0.014329	0.008142
0.012049	0.016283
0.015632	0.016283
0.01954	0.022796
0.019214	0.016934
0.020191	0.01954
0.028332	0.025727
0.03224	0.016934
0.01498	0.00977
0.025076	0.015306
0.021819	0.016283
0.015632	0.008467
0.030938	0.013026
0.022796	0.015306
0.01954	0.023448
0.025076	0.011398
0.020517	0.017586
0.030938	0.024425
0.030612	0.019865
0.025076	0.028007
0.032566	0.010095
0.033217	0.031589
0.025402	0.022145
0.031589	0.022796
0.037451	0.025727
0.038754	0.025727
0.035823	0.029961
0.0368	0.031263
0.038102	0.028984
0.033217	0.02475
0.033543	0.03452
0.030612	0.029309
0.030938	0.036148
0.045918	0.033217
0.034846	0.037451
0.039731	0.035497
0.038102	0.041359
0.038754	0.038102
0.045592	0.039405
0.033543	0.0368
0.043313	0.040708
0.04201	0.037777
0.040382	0.037451
0.040382	0.032566
0.049175	0.040056
0.051129	0.045267
0.04429	0.048849
0.055688	0.041359
0.045267	0.039731
0.054711	0.042987
0.055688	0.037125
0.055688	0.040382
0.058945	0.042987
0.048523	0.042336
0.053408	0.043639
0.047872	0.051129
0.054711	0.04429
0.052106	0.046569
0.061876	0.051129
0.057642	0.039079
0.051454	0.047546
0.051129	0.045918
0.059922	0.049826
0.055688	0.046244
0.053408	0.048523
0.062853	0.042662
0.052106	0.05178
0.066109	0.055362
0.064155	0.048849
0.063178	0.058619
0.056991	0.048523
0.067412	0.053734
0.058619	0.054385
0.056339	0.049175
0.055688	0.054385
0.062527	0.061224
0.068389	0.052106
0.063504	0.05178
0.071645	0.058945
0.070343	0.060899
0.07881	0.06155
0.068389	0.065783
0.060247	0.067412
0.071645	0.060247
0.070994	0.067737
0.080764	0.050477
0.064481	0.05927
0.074576	0.062527
0.077507	0.066109
0.069691	0.073599
0.070994	0.066109
0.07881	0.06676
0.083043	0.057642
0.074251	0.064806
0.086626	0.065132
0.078484	0.066435
0.071645	0.070017
0.085323	0.064481
0.084997	0.07132
0.083043	0.06904
0.083695	0.065783
0.079461	0.059922
0.085974	0.067086
0.082718	0.070343
0.085323	0.066435
0.094767	0.080113
0.085649	0.075553
0.080438	0.077507
0.083695	0.075228
0.087277	0.073925
0.089557	0.076856
0.091836	0.070994
0.089557	0.070668
0.092813	0.072622
0.091511	0.079787
0.096721	0.08109
0.096396	0.088254
0.095419	0.071645
0.091836	0.078159
0.10258	0.078484
0.095093	0.085649
0.097047	0.077182
0.096721	0.084997
0.096721	0.088254
0.095093	0.08109
0.10096	0.08109
0.10258	0.090859
0.10063	0.090208
0.10389	0.088905
0.10063	0.087603
0.1104	0.079787
0.099652	0.0863
0.10389	0.087603
0.10551	0.089882
0.095093	0.083043
0.10942	0.085649
0.1117	0.095093
0.10877	0.077833
0.1104	0.0863
0.11594	0.095093
0.10682	0.093465
0.11463	0.095419
0.1117	0.10096
0.10617	0.096396
0.11463	0.089557
0.11073	0.094767
0.11366	0.090208
0.11203	0.094767
0.11919	0.096396
0.12245	0.1003
0.12343	0.096396
0.11235	0.091511
0.13222	0.10193
0.11984	0.097698
0.12277	0.099652
0.11594	0.1003
0.11496	0.099978
0.11854	0.094116
0.1244	0.099001
0.12896	0.10389
0.12115	0.10551
0.12798	0.10649
0.11919	0.10063
0.12571	0.10519
0.13613	0.095419
0.13775	0.10714
0.12766	0.10323
0.13189	0.10714
0.13157	0.097373
0.13059	0.10291
0.13515	0.113
0.13287	0.11007
0.13189	0.11073
0.12766	0.1104
0.12603	0.10584
0.13254	0.10942
0.14134	0.10747
0.13775	0.11528
0.13775	0.1104
0.13059	0.10845
0.14101	0.11366
0.14036	0.11105
0.14622	0.11919
0.14525	0.10975
0.14915	0.1104
0.15469	0.11496
0.14166	0.10942
0.14166	0.11268
0.14915	0.11691
0.14655	0.11073
0.15143	0.11984
0.14362	0.11822
0.1485	0.11854
0.1472	0.12082
0.14003	0.12831
0.15046	0.12115
0.15241	0.11594
0.15762	0.12473
0.15567	0.12473
0.14394	0.1332
0.15957	0.12017
0.14329	0.12147
0.15469	0.12896
0.15827	0.12603
0.16055	0.13124
0.16316	0.12961
0.16218	0.11822
0.14752	0.12408
0.1485	0.12636
0.16088	0.12375
0.15274	0.1345
0.15827	0.12929
0.15827	0.12701
0.16544	0.12929
0.17423	0.1358
0.15176	0.13254
0.16055	0.13254
0.16641	0.12994
0.17097	0.13417
0.17293	0.14069
0.16869	0.13287
0.16706	0.13645
0.16381	0.13124
0.17455	0.12473
0.17488	0.14264
0.17065	0.13417
0.16609	0.13775
0.16804	0.13743
0.17618	0.13775
0.17911	0.14134
0.16251	0.13613
0.18628	0.13743
0.18139	0.13938
0.17716	0.1345
0.17814	0.1498
0.17455	0.1472
0.17846	0.13775
0.17162	0.14069
0.17423	0.14427
0.18628	0.15404
0.18367	0.14329
0.17683	0.14655
0.18172	0.15013
0.18498	0.14329
0.18335	0.14948
0.18074	0.14329
0.18921	0.14557
0.18563	0.14818
0.18823	0.14687
0.1866	0.15501
0.1853	0.14329
0.18921	0.15078
0.19149	0.15274
0.19051	0.1498
0.19181	0.15208
0.19149	0.16023
0.19116	0.15664
0.1967	0.14687
0.18139	0.15176
0.1967	0.1586
0.19605	0.1586
0.1967	0.15306
0.20549	0.15274
0.19247	0.15925
0.19572	0.15957
0.1993	0.16023
0.19963	0.16478
0.19963	0.16153
0.1967	0.15925
0.20224	0.16055
0.20256	0.15404
0.19019	0.17065
0.2068	0.1599
0.20321	0.15339
0.2068	0.16023
0.2081	0.16478
0.20745	0.1713
0.21005	0.16413
0.21168	0.16478
0.20614	0.17162
0.21298	0.1713
0.21201	0.16316
0.21298	0.16381
0.20484	0.17228
0.2081	0.17065
0.21201	0.17097
0.21103	0.17521
0.21103	0.16967
0.21494	0.1713
0.22275	0.16967
0.21722	0.15339
0.23122	0.17455
0.22406	0.16902
0.2208	0.16544
0.22275	0.17977
0.21982	0.17683
0.21917	0.17228
0.22373	0.16772
0.22145	0.17488
0.22829	0.1713
0.21917	0.17097
0.22015	0.17097
0.22633	0.17749
0.2221	0.17618
0.22894	0.17651
0.22829	0.17749
0.22438	0.17455
0.22503	0.17553
0.22894	0.18888
0.23252	0.18465
0.23317	0.18465
0.22959	0.17586
0.22568	0.18628
0.23448	0.18237
0.22536	0.18302
0.2361	0.17977
0.24229	0.18204
0.23415	0.18693
0.24164	0.18172
0.24392	0.19247
0.2335	0.18758
0.24132	0.19149
0.23969	0.18954
0.23675	0.18888
0.2462	0.1866
0.24392	0.18823
0.25108	0.19214
0.24652	0.18986
0.2462	0.18726
0.25304	0.18791
0.24946	0.1866
0.23871	0.18888
0.24066	0.18465
0.24685	0.18432
0.2462	0.19735
0.24718	0.19409
0.24294	0.19735
0.25206	0.19735
0.25206	0.19898
0.25076	0.18986
0.25271	0.19149
0.26248	0.19768
0.24652	0.18921
0.25825	0.19442
0.26118	0.19116
0.25988	0.198
0.25858	0.1954
0.25695	0.19344
0.25597	0.19833
0.25336	0.1954
0.25792	0.20289
0.26541	0.20517
0.26216	0.20777
0.25955	0.20452
0.26085	0.20875
0.26411	0.19963
0.26509	0.20582
0.27127	0.19768
0.26769	0.20191
0.26476	0.20191
0.27095	0.20158
0.26346	0.20842
0.27225	0.21266
0.26769	0.21103
0.27127	0.20712
0.26704	0.21266
0.27225	0.21103
0.26281	0.20777
0.27225	0.20484
0.27323	0.2081
0.283	0.20712
0.27811	0.21266
0.27714	0.21982
0.28202	0.20842
0.27421	0.21754
0.28039	0.21787
0.28137	0.21656
0.27942	0.21233
0.2843	0.21363
0.28137	0.21396
0.28137	0.21884
0.27844	0.22666
0.27551	0.21819
0.28398	0.21396
0.29277	0.22308
0.28398	0.2195
0.29179	0.21168
0.2856	0.22861
0.28202	0.21331
0.29407	0.22471
0.28528	0.22633
0.28658	0.22243
0.29635	0.23382
0.29505	0.21819
0.29668	0.22047
0.29537	0.23057
0.29733	0.22699
0.29733	0.23057
0.30352	0.22992
0.29798	0.22666
0.28951	0.23317
0.29635	0.21917
0.2944	0.22796
0.30352	0.2234
0.31166	0.22666
0.29603	0.23382
0.30384	0.23155
0.29993	0.22894
0.29896	0.24132
0.30547	0.23089
0.30319	0.22633
0.29961	0.22731
0.29505	0.23024
0.31622	0.22601
0.30547	0.22731
0.30677	0.24555
0.30286	0.24034
0.30254	0.23382
0.32208	0.23838
0.30938	0.24099
0.31329	0.2462
0.31622	0.24034
0.30742	0.23448
0.31296	0.23871
0.31524	0.23936
0.32371	0.24262
0.3185	0.24555
0.31329	0.24099
0.32501	0.23904
0.32566	0.24555
0.32273	0.2361
0.31654	0.23675
0.31589	0.24197
0.31915	0.2449
0.32761	0.24327
0.32371	0.23969
0.3211	0.24327
0.3198	0.24425
0.32566	0.24359
0.33022	0.24555
0.31915	0.24815
0.32664	0.24783
0.32924	0.25271
0.32371	0.25108
0.32631	0.25206
0.32208	0.24587
0.3325	0.24099
0.33152	0.25043
0.33445	0.23936
0.33608	0.24783
0.33445	0.25141
0.33445	0.25239
0.32761	0.24881
0.33055	0.25434
0.33641	0.25564
0.33966	0.25239
0.33641	0.25597
0.33217	0.25271
0.33901	0.2602
0.34162	0.25923
0.33673	0.25108
0.34487	0.24978
0.33836	0.26378
0.34911	0.26769
0.33966	0.26411
0.34227	0.26769
0.34064	0.26737
0.34227	0.26346
0.3439	0.26118
0.34618	0.26313
0.34487	0.26704
0.34846	0.26313
0.34455	0.27421
0.3579	0.26607
0.35139	0.26769
0.35171	0.26216
0.35302	0.27388
0.35041	0.27193
0.35139	0.26476
0.36116	0.26932
0.35692	0.27518
0.35334	0.27225
0.35692	0.26704
0.3566	0.27355
0.35692	0.27062
0.35399	0.27388
0.35432	0.26834
0.35562	0.27551
0.3579	0.27681
0.36213	0.27258
0.3553	0.27974
0.35236	0.2716
0.3579	0.27421
0.36246	0.27877
0.3592	0.27714
0.36539	0.27518
0.368	0.27942
0.36409	0.27746
0.37028	0.27909
0.36441	0.27909
0.368	0.28267
0.37549	0.28039
0.36832	0.27453
0.37223	0.27877
0.36897	0.28007
0.37777	0.28137
0.38102	0.28267
0.37516	0.28626
0.36897	0.29375
0.37483	0.28756
0.37483	0.27974
0.37842	0.2817
0.37451	0.28202
0.3706	0.28137
0.37483	0.28658
0.37549	0.28756
0.38395	0.28919
0.38298	0.27551
0.37907	0.28463
0.38656	0.28821
0.38005	0.28626
0.37483	0.28007
0.37972	0.28332
0.38005	0.29147
0.38395	0.29016
0.38428	0.29114
0.3807	0.28463
0.38656	0.29733
0.382	0.29537
0.39307	0.29603
0.39144	0.2944
0.38688	0.29081
0.39079	0.29505
0.39861	0.29537
0.39307	0.29961
0.39047	0.29505
0.39861	0.29277
0.39437	0.2957
0.39535	0.30417
0.3921	0.30417
0.39665	0.30221
0.38363	0.29277
0.40252	0.29668
0.39926	0.29896
0.39568	0.30058
0.40154	0.30221
0.40512	0.30058
0.40024	0.29277
0.40024	0.29407
0.41359	0.29375
0.40187	0.30058
0.39861	0.30156
0.40317	0.30612
0.41066	0.30352
0.40805	0.30026
0.40642	0.31654
0.41001	0.30319
0.40056	0.3084
0.41424	0.30579
0.41554	0.30775
0.41196	0.31068
0.41098	0.30742
0.41489	0.30873
0.41261	0.31101
0.40903	0.3071
0.41196	0.31166
0.4214	0.31003
0.41457	0.30775
0.41847	0.31068
0.41847	0.31361
0.42564	0.31589
0.42531	0.31263
0.41196	0.32012
0.41001	0.31524
0.42987	0.31426
0.42596	0.3211
0.42662	0.31687
0.42662	0.31556
0.42922	0.31263
0.43541	0.32208
0.41978	0.31719
0.42759	0.31394
0.42857	0.31459
0.4328	0.31198
0.43443	0.31687
0.43085	0.3185
0.4328	0.32599
0.43769	0.32599
0.43671	0.32175
0.43801	0.3185
0.43476	0.32468
0.43736	0.32305
0.44648	0.32078
0.43541	0.32533
0.44094	0.32989
0.44518	0.31654
0.4416	0.31947
0.43932	0.32436
0.44127	0.32599
0.44941	0.32208
0.43476	0.32436
0.44909	0.32403
0.44648	0.32403
0.44583	0.32403
0.44648	0.32566
0.4455	0.32338
0.44062	0.32566
0.45462	0.33022
0.45071	0.33445
0.44648	0.32696
0.45299	0.32729
0.45299	0.32957
0.45234	0.32924
0.45853	0.33152
0.46276	0.32827
0.45495	0.32631
0.46016	0.33022
0.45234	0.3338
0.467	0.32696
0.4543	0.33315
0.46276	0.33641
0.45983	0.33738
0.46732	0.33217
0.46114	0.33641
0.46081	0.32761
0.47221	0.33152
0.46407	0.3351
0.47253	0.33966
0.46439	0.33999
0.47677	0.33934
0.46928	0.33152
0.46732	0.33901
0.47612	0.33869
0.46407	0.33608
0.47514	0.33315
0.4683	0.33966
0.48165	0.34357
0.47384	0.33869
0.47709	0.33445
0.47644	0.34455
0.47709	0.34325
0.47872	0.3452
0.47807	0.34585
0.47612	0.33152
0.47449	0.34487
0.47481	0.34357
0.47449	0.35106
